#  Table pn_b50_10b_0134521601.lc[1]  Wed 10:13:28 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     38.45      1.12 
     50     37.68      1.10 
    100     36.69      1.09 
    150     38.28      1.11 
    200     40.22      1.14 
    250     35.48      1.07 
    300     38.14      1.11 
    350     35.97      1.08 
    400     39.40      1.13 
    450     37.81      1.11 
    500     38.11      1.11 
    550     37.42      1.10 
    600     37.62      1.10 
    650     38.04      1.11 
    699     36.40      1.08 
    750     37.38      1.10 
    800     37.70      1.10 
    849     34.91      1.06 
    900     36.66      1.09 
    949     38.22      1.11 
   1000     37.96      1.11 
   1050     36.41      1.08 
   1100     39.45      1.13 
   1150     33.66      1.04 
   1200     36.12      1.08 
   1250     35.48      1.07 
   1300     35.63      1.07 
   1350     36.35      1.09 
   1400     36.49      1.09 
   1450     35.89      1.08 
   1500     37.22      1.10 
   1550     34.97      1.06 
   1600     35.71      1.07 
   1650     36.22      1.08 
   1700     35.72      1.07 
   1750     35.26      1.07 
   1800     35.44      1.07 
   1850     36.34      1.08 
   1900     36.45      1.08 
   1950     36.46      1.09 
   2000     37.56      1.10 
   2050     37.10      1.10 
   2100     36.64      1.09 
   2150     35.22      1.07 
   2200     37.72      1.10 
   2250     37.66      1.10 
   2300     35.03      1.06 
   2350     36.26      1.08 
   2400     37.15      1.09 
   2450     36.72      1.09 
   2500     37.90      1.11 
   2550     37.16      1.10 
   2600     36.11      1.08 
   2650     35.80      1.08 
   2700     38.19      1.11 
   2750     36.46      1.09 
   2800     37.07      1.10 
   2850     37.95      1.11 
   2900     37.38      1.10 
   2950     37.05      1.10 
   3000     36.05      1.08 
   3050     37.73      1.10 
   3100     36.45      1.09 
   3150     37.32      1.10 
   3200     38.10      1.11 
   3250     36.51      1.09 
   3300     37.35      1.10 
   3350     37.86      1.11 
   3400     38.03      1.11 
   3450     37.22      1.10 
   3500     36.93      1.09 
   3550     37.82      1.11 
   3600     36.26      1.09 
   3650     35.61      1.07 
   3700     35.23      1.07 
   3750     34.77      1.06 
   3800     37.70      1.10 
   3850     35.35      1.07 
   3900     35.78      1.08 
   3950     34.72      1.06 
   4000     38.58      1.12 
   4050     33.73      1.04 
   4100     34.88      1.06 
   4150     36.70      1.09 
   4200     35.49      1.07 
   4250     35.29      1.07 
   4300     35.13      1.07 
   4349     35.22      1.07 
   4400     35.45      1.07 
   4450     35.98      1.08 
   4500     32.68      1.03 
   4550     34.55      1.06 
   4600     35.41      1.07 
   4650     34.48      1.05 
   4700     35.53      1.07 
   4750     34.52      1.06 
   4800     34.03      1.05 
   4850     35.42      1.07 
   4900     35.26      1.07 
   4950     35.00      1.06 
   5000     35.36      1.07 
   5050     34.90      1.06 
   5100     36.17      1.08 
   5150     34.04      1.05 
   5200     35.00      1.06 
   5250     34.97      1.06 
   5300     35.54      1.07 
   5349     34.22      1.05 
   5400     37.41      1.10 
   5450     36.07      1.08 
   5500     35.19      1.07 
