#  Table rgs12o12_b50_26_0412580401.lc[1]  Wed 15:46:41 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     2.67      0.32 
     50     2.12      0.23 
    100     2.28      0.29 
    150     2.67      0.25 
    200     2.75      0.34 
    250     2.33      0.26 
    300     2.29      0.30 
    350     2.95      0.26 
    400     2.32      0.30 
    450     2.79      0.24 
    500     2.00      0.27 
    550     2.38      0.25 
    600     2.58      0.31 
    650     1.97      0.24 
    699     2.25      0.32 
    750     2.31      0.26 
    800     2.99      0.36 
    849     2.42      0.29 
    900     2.12      0.36 
    949     2.52      0.31 
   1000     2.75      0.37 
   1050     2.61      0.31 
   1100     2.80      0.39 
   1150     2.23      0.30 
   1200     2.59      0.38 
   1250     2.59      0.33 
   1300     1.88      0.36 
   1350     2.90      0.26 
   1400     2.76      0.34 
   1450     2.31      0.24 
   1500     2.58      0.33 
   1550     2.74      0.27 
   1600     2.37      0.30 
   1650     2.61      0.25 
   1700     2.38      0.32 
   1750     2.42      0.25 
   1800     2.01      0.31 
   1850     2.22      0.24 
   1900     2.44      0.28 
   1950     1.92      0.25 
   2000     2.73      0.31 
   2050     2.37      0.25 
   2100     2.22      0.32 
   2150     1.93      0.24 
   2200     1.98      0.33 
   2250     2.35      0.25 
   2300     2.67      0.30 
   2350     2.50      0.24 
   2400     2.42      0.28 
   2450     2.43      0.25 
   2500     1.86      0.28 
   2550     2.45      0.23 
   2600     2.75      0.29 
   2650     2.37      0.23 
   2700     2.54      0.28 
   2750     2.01      0.23 
   2800     2.19      0.29 
   2850     2.39      0.22 
   2900     2.62      0.29 
   2950     2.22      0.23 
   3000     2.20      0.28 
   3050     2.49      0.22 
   3100     2.53      0.27 
   3150     2.02      0.20 
   3200     2.36      0.27 
   3250     2.49      0.22 
   3300     2.46      0.26 
   3350     2.18      0.21 
   3400     1.95      0.24 
   3450     2.47      0.22 
   3500     2.20      0.26 
   3550     2.26      0.21 
   3600     1.75      0.23 
   3650     2.12      0.21 
   3700     2.72      0.29 
   3750     2.16      0.22 
   3800     2.89      0.29 
   3850     2.10      0.21 
   3900     2.31      0.26 
   3950     2.27      0.21 
   4000     2.47      0.25 
   4050     2.51      0.22 
   4100     2.45      0.26 
   4150     2.92      0.23 
   4200     2.46      0.26 
   4250     2.56      0.22 
   4300     2.56      0.27 
   4349     2.52      0.23 
   4400     2.46      0.26 
   4450     2.58      0.22 
   4500     2.50      0.27 
   4550     2.42      0.22 
   4600     2.67      0.26 
   4650     2.65      0.22 
   4700     2.55      0.26 
   4750     2.42      0.21 
   4800     2.62      0.27 
   4850     2.41      0.21 
   4900     2.65      0.27 
   4950     2.60      0.22 
   5000     2.61      0.26 
   5050     2.15      0.20 
   5100     2.58      0.27 
   5150     2.58      0.22 
   5200     2.57      0.27 
   5250     2.44      0.21 
   5300     2.56      0.27 
   5349     2.37      0.21 
   5400     2.37      0.25 
   5450     2.40      0.21 
   5500     2.77      0.27 
   5549     3.11      0.23 
   5599     2.56      0.27 
   5650     2.34      0.21 
   5700     2.92      0.28 
   5749     3.06      0.23 
   5799     2.58      0.27 
   5849     2.35      0.20 
   5900     2.63      0.27 
   5949     2.81      0.22 
   6000     2.69      0.27 
   6049     3.07      0.24 
   6099     2.87      0.27 
   6149     3.01      0.23 
   6199     2.91      0.29 
   6250     2.82      0.23 
   6300     2.76      0.28 
   6350     3.37      0.25 
   6400     2.79      0.28 
   6450     2.97      0.23 
   6500     2.80      0.28 
   6550     3.29      0.25 
   6599     3.24      0.29 
   6650     3.03      0.24 
   6700     2.60      0.28 
   6750     3.24      0.24 
   6799     3.31      0.30 
   6849     2.94      0.23 
   6900     2.75      0.27 
   6950     2.85      0.22 
   6999     3.27      0.30 
   7049     2.88      0.23 
   7099     3.07      0.29 
   7150     2.88      0.23 
   7199     3.74      0.32 
   7249     2.55      0.22 
   7299     2.53      0.26 
   7349     2.72      0.22 
   7399     2.91      0.29 
   7449     2.76      0.23 
   7500     2.90      0.28 
   7550     2.98      0.23 
   7600     3.39      0.30 
   7650     3.00      0.23 
   7700     3.57      0.31 
   7750     3.43      0.25 
   7800     3.62      0.32 
   7849     3.15      0.24 
   7900     2.90      0.28 
   7950     3.53      0.25 
   8000     3.52      0.31 
   8050     3.16      0.24 
   8099     3.13      0.29 
   8150     3.35      0.25 
   8199     3.76      0.32 
   8249     2.89      0.23 
   8300     3.24      0.30 
   8349     3.31      0.24 
   8400     3.15      0.29 
   8449     3.03      0.23 
   8499     3.06      0.29 
   8550     3.49      0.25 
   8599     3.14      0.30 
   8649     3.43      0.25 
   8699     3.47      0.31 
   8750     3.21      0.26 
   8800     3.42      0.30 
   8850     2.99      0.24 
   8900     2.93      0.28 
   8949     3.27      0.24 
   9000     3.09      0.29 
   9050     3.28      0.24 
   9099     3.36      0.31 
   9150     3.42      0.25 
   9199     3.49      0.31 
   9250     3.57      0.25 
   9300     2.43      0.27 
   9349     3.26      0.25 
   9400     3.57      0.31 
   9449     3.13      0.24 
   9499     3.24      0.30 
   9550     3.00      0.23 
   9599     3.12      0.29 
   9650     3.40      0.25 
   9699     3.10      0.29 
   9749     3.26      0.25 
   9800     3.03      0.29 
   9849     2.61      0.22 
   9899     2.96      0.29 
   9949     3.09      0.24 
  10000     3.54      0.31 
  10050     3.39      0.25 
  10100     3.05      0.28 
  10150     3.07      0.23 
  10200     2.90      0.28 
  10250     3.40      0.25 
  10300     3.42      0.30 
  10350     3.05      0.23 
  10400     2.74      0.28 
  10450     2.86      0.23 
  10500     3.72      0.32 
  10550     3.13      0.24 
  10600     2.83      0.27 
  10650     3.17      0.24 
  10700     2.73      0.27 
  10750     2.82      0.23 
  10800     3.12      0.29 
  10850     3.02      0.24 
  10900     2.87      0.28 
  10950     2.99      0.23 
  11000     3.03      0.28 
  11050     2.86      0.23 
  11100     2.84      0.28 
  11150     3.24      0.24 
  11200     3.30      0.30 
  11250     2.80      0.23 
  11300     3.25      0.29 
  11350     2.82      0.22 
  11400     2.85      0.29 
  11450     2.74      0.23 
  11500     2.59      0.26 
  11550     2.90      0.23 
  11600     3.22      0.30 
  11650     2.94      0.23 
  11700     2.62      0.27 
  11750     2.73      0.23 
  11800     2.56      0.26 
  11850     3.09      0.23 
  11900     3.12      0.29 
  11950     2.96      0.23 
  12000     2.54      0.26 
  12050     2.80      0.23 
  12100     2.72      0.27 
  12150     2.98      0.23 
  12200     3.14      0.29 
  12250     3.09      0.24 
  12300     2.59      0.28 
  12350     2.88      0.23 
  12400     2.68      0.27 
  12450     2.52      0.22 
  12500     2.87      0.28 
  12550     2.56      0.21 
  12600     2.61      0.27 
  12650     2.84      0.23 
  12700     2.39      0.26 
  12750     2.55      0.21 
  12800     2.96      0.28 
  12850     2.84      0.23 
  12900     2.73      0.27 
  12950     2.66      0.22 
  13000     2.36      0.25 
  13050     2.40      0.21 
  13100     2.47      0.26 
  13150     2.25      0.21 
  13200     2.45      0.27 
  13250     2.37      0.21 
  13300     2.59      0.27 
  13350     2.51      0.21 
  13400     2.42      0.25 
  13450     2.86      0.23 
  13500     2.51      0.26 
  13550     2.54      0.22 
  13600     2.60      0.27 
  13650     3.02      0.23 
  13700     3.03      0.29 
  13750     2.41      0.21 
  13800     2.60      0.27 
  13850     2.56      0.22 
  13900     2.58      0.27 
  13950     2.38      0.21 
  14000     2.48      0.26 
  14050     2.47      0.22 
  14100     3.02      0.29 
  14150     2.70      0.22 
  14200     2.36      0.26 
  14250     2.25      0.20 
  14300     2.81      0.28 
  14350     2.73      0.22 
  14400     2.49      0.26 
  14450     2.82      0.22 
  14500     2.33      0.26 
  14550     2.57      0.22 
  14600     2.48      0.27 
  14650     3.03      0.23 
  14700     2.69      0.27 
  14750     2.45      0.22 
  14800     2.36      0.26 
  14850     2.65      0.23 
  14900     2.56      0.27 
  14950     2.74      0.22 
  15000     2.36      0.26 
  15050     2.28      0.21 
  15100     2.60      0.26 
  15150     2.37      0.21 
  15200     2.47      0.26 
  15250     2.48      0.21 
  15300     2.18      0.25 
  15350     2.46      0.22 
  15400     2.40      0.26 
  15450     2.76      0.22 
  15500     2.24      0.25 
  15550     2.43      0.21 
  15600     2.75      0.28 
  15650     2.70      0.22 
  15700     3.13      0.28 
  15750     2.48      0.21 
  15800     2.62      0.26 
  15850     2.91      0.23 
  15900     2.69      0.27 
  15950     2.92      0.23 
  16000     1.95      0.24 
  16050     2.54      0.21 
  16100     2.53      0.26 
  16150     2.67      0.22 
  16200     2.68      0.27 
  16250     2.34      0.21 
  16300     2.50      0.26 
  16350     2.38      0.21 
  16400     2.93      0.29 
  16450     2.58      0.22 
  16500     2.68      0.29 
  16550     2.67      0.22 
  16600     2.57      0.31 
  16650     2.51      0.21 
  16700     2.47      0.26 
  16750     2.79      0.22 
  16800     2.57      0.26 
  16850     2.27      0.20 
  16900     2.33      0.26 
  16950     2.77      0.23 
  17000     2.58      0.27 
  17050     2.44      0.21 
  17100     2.39      0.26 
  17150     2.48      0.21 
  17200     2.26      0.25 
  17250     2.29      0.21 
  17300     2.79      0.27 
  17350     2.48      0.21 
  17400     2.45      0.26 
  17450     2.69      0.22 
  17500     1.91      0.24 
  17550     2.53      0.21 
  17600     1.76      0.24 
  17650     2.49      0.21 
  17700     2.41      0.25 
  17750     2.35      0.21 
  17800     2.57      0.27 
  17850     2.13      0.20 
  17900     2.68      0.26 
  17950     2.13      0.21 
  18000     2.58      0.27 
  18050     2.96      0.23 
  18100     3.07      0.29 
  18150     2.57      0.22 
  18200     2.39      0.26 
  18250     2.44      0.21 
  18300     2.08      0.25 
  18350     2.34      0.21 
  18400     2.45      0.27 
  18450     2.26      0.21 
  18500     2.37      0.25 
  18550     2.26      0.20 
  18600     2.51      0.27 
  18650     2.36      0.21 
  18700     2.21      0.25 
  18750     2.30      0.21 
  18800     2.55      0.26 
  18850     2.48      0.22 
  18900     2.55      0.27 
  18950     2.26      0.20 
  19000     2.25      0.25 
  19050     2.34      0.21 
  19100     2.29      0.25 
  19150     2.78      0.22 
  19200     3.17      0.29 
  19250     2.51      0.21 
  19300     2.52      0.26 
  19350     2.20      0.20 
  19400     2.20      0.25 
  19450     2.21      0.21 
  19500     2.57      0.26 
  19550     2.25      0.21 
  19600     2.58      0.26 
  19650     2.53      0.21 
  19700     2.23      0.25 
  19750     2.12      0.20 
  19800     2.65      0.27 
  19850     2.39      0.21 
  19900     2.48      0.26 
  19950     2.40      0.21 
  20000     2.78      0.27 
